state,token,lexeme
5,RWORD,SUB
5,RWORD,INT
5,ID,teste
2,OP_PA,(
2,OP_PF,)
5,RWORD,VAR
5,RWORD,INT
5,ID,a
5,RWORD,,
5,ID,b
5,RWORD,,
5,ID,c
5,RWORD,,
5,ID,d
5,RWORD,,
5,ID,e
1,PV,;
5,RWORD,PRINT
2,OP_PA,(
7,STRING,"hello world"
5,RWORD,,
6,CHAR,'t'
5,RWORD,,
5,RWORD,TRUE
5,RWORD,,
5,RWORD,FALSE
5,RWORD,,
5,RWORD,TRUE
5,RWORD,,
5,RWORD,FALSE
2,OP_PF,)
1,PV,;
5,RWORD,PRINTLN
2,OP_PA,(
7,STRING,"hello world"
5,RWORD,,
6,CHAR,'t'
5,RWORD,,
5,RWORD,TRUE
5,RWORD,,
5,RWORD,FALSE
5,RWORD,,
5,RWORD,TRUE
5,RWORD,,
5,RWORD,FALSE
2,OP_PF,)
1,PV,;
5,RWORD,SCAN
2,OP_PA,(
5,ID,a
5,RWORD,,
5,ID,b
5,RWORD,,
5,ID,c
5,RWORD,,
5,ID,d
5,RWORD,,
5,ID,e
2,OP_PF,)
1,PV,;
5,RWORD,SCANLN
2,OP_PA,(
5,ID,a
5,RWORD,,
5,ID,b
5,RWORD,,
5,ID,c
5,RWORD,,
5,ID,d
5,RWORD,,
5,ID,e
2,OP_PF,)
1,PV,;
5,RWORD,END-SUB
5,RWORD,FUNCTION
5,RWORD,VOID
5,ID,main
2,OP_PA,(
5,RWORD,VAR
5,RWORD,INT
5,ID,argc
5,RWORD,BY
5,RWORD,VALUE
5,RWORD,,
5,RWORD,VAR
5,RWORD,CHAR
5,ID,argv
5,RWORD,BY
5,RWORD,REF
2,OP_PF,)
5,RWORD,VAR
5,RWORD,INT
5,ID,x
5,RWORD,,
5,ID,X
5,RWORD,,
5,ID,Y
5,RWORD,,
5,ID,Z
5,RWORD,,
5,ID,a
5,RWORD,,
5,ID,c
5,RWORD,,
5,ID,d
1,PV,;
5,ID,x
2,OP_ATR,=
3,INT,1
1,PV,;
5,RWORD,FOR
5,ID,alfa
2,OP_ATR,=
3,INT,1
5,ID,TO
3,INT,2
5,RWORD,DO
5,RWORD,VAR
5,RWORD,INT
5,ID,y
1,PV,;
5,ID,y
2,OP_ATR,=
5,ID,Y
2,OP_SUM,+
3,INT,1
1,PV,;
5,RWORD,NEXT
5,RWORD,RETURN
3,INT,0
1,PV,;
5,RWORD,IF
5,ID,a
5,RWORD,THEN
5,RWORD,VAR
5,RWORD,FLOAT
5,ID,b
1,PV,;
5,ID,b
2,OP_ATR,=
5,ID,c
2,OP_SUB,-
5,ID,d
1,PV,;
5,RWORD,END-IF
5,ID,a
2,OP_ATR,=
5,ID,teste
2,OP_PA,(
2,OP_PF,)
1,PV,;
5,RWORD,END-FUNCTION
1,FIM,None
